doc_id,source_path,page_count,char_count,chars_per_page,extractor,thin_pages,transcribed_pages,unread_pages,transcription_model,truncated,original_char_count,stratum
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,9,29389,3265.4,pymupdf,0,0,0,,False,29389,random
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,11,26308,2391.6,pymupdf,0,0,0,,False,26308,random
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,3,13063,4354.3,pymupdf,0,0,0,,False,13063,random
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,32,89200,2787.5,pymupdf,0,0,0,,False,89200,random
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,13,24510,1885.4,pymupdf,0,0,0,,False,24510,random
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,56,101214,1807.4,pymupdf,0,0,0,,False,101214,random
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT","/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",5,26276,5255.2,pymupdf,0,0,0,,False,26276,random
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement","/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",6,15292,2548.7,pymupdf,0,0,0,,False,15292,random
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT","/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",4,11990,2997.5,pymupdf,0,0,0,,False,11990,random
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,/Users/aaron/Projects/doc-proc-demo-1/data/pdfs/AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,21,121339,5778.0,pymupdf,0,0,0,,False,121339,random
